year,month,day=  2019 11  2
lat, East lon.=   -45.871153182  170.502067992
 23460.0  0.024827 -0.034381  0.077062
 23520.0  0.024712 -0.034499  0.076360
 23580.0  0.024597 -0.034615  0.075656
 23640.0  0.024481 -0.034729  0.074949
 23700.0  0.024366 -0.034842  0.074241
 23760.0  0.024250 -0.034953  0.073530
 23820.0  0.024134 -0.035062  0.072818
 23880.0  0.024018 -0.035170  0.072103
 23940.0  0.023902 -0.035277  0.071387
 24000.0  0.023786 -0.035382  0.070669
 24060.0  0.023669 -0.035485  0.069949
 24120.0  0.023553 -0.035586  0.069226
 24180.0  0.023436 -0.035686  0.068503
 24240.0  0.023320 -0.035785  0.067777
 24300.0  0.023203 -0.035881  0.067050
 24360.0  0.023086 -0.035976  0.066321
 24420.0  0.022969 -0.036070  0.065590
 24480.0  0.022853 -0.036162  0.064858
